name,desc
ปิยะชัย ตุ่ยสิมา,สส.เขต (มหาสารคาม เขต 4)
เสกสรร ชัยพัฒนเมธี,สส.เขต (มหาสารคาม เขต 5)
รัฐภูมิ โพธิ์ศรีดา,สส.เขต (ราชบุรี เขต 1)
มธุรส จีระ,สส.เขต (ราชบุรี เขต 2)
วีระ ทองเกิด,สส.เขต (ราชบุรี เขต 3)
วัฒนา ร่มโพธิ์,สส.เขต (ราชบุรี เขต 4)
ประชุมพล สืบนุช,สส.เขต (ราชบุรี เขต 5)
อดิศักดิ์ ประสานเชื้อ,สส.เขต (ชัยภูมิ เขต 1)
ปราณี ดำรงพันธ์,สส.เขต (ชัยภูมิ เขต 2)
สุริยา ฉิมพาลี,สส.เขต (ชัยภูมิ เขต 3)
นล ฦๅชา,สส.เขต (ชัยภูมิ เขต 4)
กงใจ จรัสพันธ์,สส.เขต (ชัยภูมิ เขต 5)
พงศ์พิบูลย์ ฉายแสง,สส.เขต (ชัยภูมิ เขต 6)
ณสรวง ผิวผ่อง,สส.เขต (นครสวรรค์ เขต 1)
กัญจน์นที ศรีทับทิม,สส.เขต (นครสวรรค์ เขต 2)
มะลิวัลย์ ดิษสละ,สส.เขต (นครสวรรค์ เขต 3)
สมปอง เฟื่องจันทร์,สส.เขต (นครสวรรค์ เขต 4)
ชัยยศ ตันฑะเสน,สส.เขต (นครสวรรค์ เขต 5)
กานดา ดิษสละ,สส.เขต (นครสวรรค์ เขต 6)
สิริ ภู่สิงห์,สส.เขต (นนทบุรี เขต 1)
ขัตติยะ ภุมรินทร์,สส.เขต (นนทบุรี เขต 2)
ชยพล เทพรัตน์,สส.เขต (นนทบุรี เขต 3)
ชนิตา จอมพงษ์,สส.เขต (นนทบุรี เขต 4)
ไพฑูรย์ พึ่งเพ็ง,สส.เขต (นนทบุรี เขต 5)
บุญหลง อาจจิต,สส.เขต (นนทบุรี เขต 6)
อัจจิมา ชูช่วย,สส.เขต (ปทุมธานี เขต 1)
กำพล ดอนไพรเพ็ชร์,สส.เขต (ปทุมธานี เขต 2)
พรเทพ จิรกิตตยากร,สส.เขต (ปทุมธานี เขต 3)
ประภาวัลย์ ปานกลิ่นกุลดิษย์,สส.เขต (ปทุมธานี เขต 4)
จรรยา สมศิลป์,สส.เขต (ปทุมธานี เขต 5)
ทนง บุญรอด,สส.เขต (ปทุมธานี เขต 6)
สนั่น ชินวงศ์,สส.เขต (สกลนคร เขต 1)
ณัฐธนชัย นาวารี,สส.เขต (สกลนคร เขต 2)
สุทัศน์ ชัยวิเศษ,สส.เขต (สกลนคร เขต 3)
หนูเตรียม ศรีประทุม,สส.เขต (สกลนคร เขต 4)
สุรพล สารสังข์,สส.เขต (สกลนคร เขต 5)
ประหยัด ไชยตะมาตร์,สส.เขต (สกลนคร เขต 6)
จุไรรัตน์ ศรลัมพ์,สส.เขต (สุราษฎร์ธานี เขต 1)
ธรรมนอง พรหมรักษ์,สส.เขต (สุราษฎร์ธานี เขต 2)
วิโชว์ แสงศรี,สส.เขต (สุราษฎร์ธานี เขต 3)
อมรศักดิ์ จิวสืบพงษ์,สส.เขต (สุราษฎร์ธานี เขต 4)
กิตติพงษ์ ช่วงโชติ,สส.เขต (สุราษฎร์ธานี เขต 5)
โยธี พรหมรักษ์,สส.เขต (สุราษฎร์ธานี เขต 6)
ยุทธชัย ไอ่ดอ,สส.เขต (เชียงราย เขต 1)
ไอใจ ปู่หมื่อ,สส.เขต (เชียงราย เขต 2)
พิมพ์ประภา กันทาซาว,สส.เขต (เชียงราย เขต 3)
พนิดา มะโนธรรม,สส.เขต (เชียงราย เขต 4)
ปภพรรณ เด่นรัตนตระกูล,สส.เขต (เชียงราย เขต 5)
ทองมา ศรีสด,สส.เขต (เชียงราย เขต 6)
เอกณัฏฐ์ อ่องรอง,สส.เขต (เชียงราย เขต 7)
บุญยัง ถินคำเชิด,สส.เขต (ร้อยเอ็ด เขต 1)
อภิชาติ รักพงษ์,สส.เขต (ร้อยเอ็ด เขต 2)
จารุณี พลเยี่ยม,สส.เขต (ร้อยเอ็ด เขต 3)
สุพัฒน์ คำภักดี,สส.เขต (ร้อยเอ็ด เขต 4)
ประจักษ์ ชุมพล,สส.เขต (ร้อยเอ็ด เขต 5)
อุเรียน ธุระพันธ์,สส.เขต (ร้อยเอ็ด เขต 6)
วรชาติ คำสวาสดิ์,สส.เขต (ร้อยเอ็ด เขต 7)
ไพรทูล ยะสีดา,สส.เขต (สมุทรปราการ เขต 1)
ศิราสิทธิ์ ถินนอกธนาวัฒน์,สส.เขต (สมุทรปราการ เขต 2)
ศุภธิดา วิเศษชาติ,สส.เขต (สมุทรปราการ เขต 3)
ชัยณรงค์ ชัยอาสา,สส.เขต (สมุทรปราการ เขต 4)
ประสิทธิ์ อนุเคราะห์,สส.เขต (สมุทรปราการ เขต 5)
ภูมินริศร์ ปทุมพงศ์โสธร,สส.เขต (สมุทรปราการ เขต 6)
น้ำค้าง ศรทอง,สส.เขต (สมุทรปราการ เขต 7)
ปกิตตา รักษ์คิด,สส.เขต (สุรินทร์ เขต 1)
กิมใจ บูรณ์เจริญ,สส.เขต (สุรินทร์ เขต 2)
วิโรจน์ พวงประโคน,สส.เขต (สุรินทร์ เขต 3)
สมาน ลุนนู,สส.เขต (สุรินทร์ เขต 4)
ชนัญญา คำพันชนะ,สส.เขต (สุรินทร์ เขต 5)
ทวีศักดิ์ ล้นเหลือ,สส.เขต (สุรินทร์ เขต 6)
เตชธร โพธิ์แก้ว,สส.เขต (สุรินทร์ เขต 7)
ปิยธิดา พรประเสริฐผล,สส.เขต (ชลบุรี เขต 1)
ณัฐวุฒิ รัตนประสพ,สส.เขต (ชลบุรี เขต 2)
พงศ์กรณ์ บุญอุตสาหะ,สส.เขต (ชลบุรี เขต 3)
อดิศักดิ์ เนื่องจำนงค์,สส.เขต (ชลบุรี เขต 4)
บดินทร์ ผาสุข,สส.เขต (ชลบุรี เขต 5)
รัฐนันท์ ปิยเดชพงศ์ธาริน,สส.เขต (ชลบุรี เขต 6)
รักเกียรติ  กิจธรรมเจริญ,สส.เขต (ชลบุรี เขต 7)
กุลรัชฎา วโรทัย,สส.เขต (ชลบุรี เขต 8)
บุญฤกษ์ ณ นคร,สส.เขต (นครศรีธรรมราช เขต 1)
ปฏิพน ชนะณรงค์,สส.เขต (นครศรีธรรมราช เขต 2)
สุธรรม พรหมเรือง,สส.เขต (นครศรีธรรมราช เขต 3)
สมถวิล เต็มภาชนะ,สส.เขต (นครศรีธรรมราช เขต 4)
กันตพงศ์ ไกรนรา,สส.เขต (นครศรีธรรมราช เขต 5)
ปราโมทย์ เพชรานนท์,สส.เขต (นครศรีธรรมราช เขต 6)
ราเชน หัตถประดิษฐ,สส.เขต (นครศรีธรรมราช เขต 7)
กัญญาณี สนธิคุณ,สส.เขต (นครศรีธรรมราช เขต 8)
วิชชา จันทร์ชัย,สส.เขต (บุรีรัมย์ เขต 1)
จัตุพงษ์ ขันติวงศ์,สส.เขต (บุรีรัมย์ เขต 2)
บุญเลี้ยง กิจคติ,สส.เขต (บุรีรัมย์ เขต 3)
สวัสดิ์ บุราสิทธิ์,สส.เขต (บุรีรัมย์ เขต 4)
ประคอง ไกรคุ้ม,สส.เขต (บุรีรัมย์ เขต 5)
สรเดช บูลย์เดช,สส.เขต (บุรีรัมย์ เขต 6)
วิชิต สมศักดิ์,สส.เขต (บุรีรัมย์ เขต 7)
อิสรภาพ เหล่านำชัย,สส.เขต (บุรีรัมย์ เขต 8)
สมจิตร์ เหลาสิงห์,สส.เขต (ศรีสะเกษ เขต 1)
สุริยน ศรีชัย,สส.เขต (ศรีสะเกษ เขต 2)
บุญทอง ห่วงเพชร,สส.เขต (ศรีสะเกษ เขต 3)
กิตติชัย เหลาสิงห์,สส.เขต (ศรีสะเกษ เขต 4)
ถวิล ประดับสุข,สส.เขต (ศรีสะเกษ เขต 5)
